[5/31/23, 17:42:05] Хабиб Вентиляция : ‎Сообщения и звонки защищены сквозным шифрованием. Прочитать, прослушать или переслать их могут только участники этого чата.
[5/31/23, 17:42:05] Хабиб Вентиляция : ‎‎‎Хабиб Вентиляция  использует автоматический таймер для исчезающих сообщений в новых чатах. ‎Новые несохраненные сообщения исчезнут из этого чата через ‎24 часа после отправки. ‎Нажмите, чтобы установить свой автоматический таймер.
[6/9/23, 14:12:06] Хабиб Вентиляция : ‎‎Хабиб Вентиляция  отключил(-а) исчезающие сообщения. ‎Нажмите, чтобы изменить.
[6/9/23, 14:13:53] investklimat: Валейкум Ассалам
‎[12/10/23, 11:16:34] Хабиб Вентиляция : ‎<прикреплено: 00003515-AUDIO-2023-12-10-11-16-34.opus>
‎[12/10/23, 11:16:58] Хабиб Вентиляция : ‎<прикреплено: 00003516-PHOTO-2023-12-10-11-16-58.jpg>
‎[12/10/23, 11:18:39] Хабиб Вентиляция : ‎<прикреплено: 00003517-PHOTO-2023-12-10-11-18-39.jpg>
‎[12/10/23, 11:26:57] Хабиб Вентиляция : ‎изображение отсутствует
‎[12/10/23, 11:28:39] Хабиб Вентиляция : ‎<прикреплено: 00003520-PHOTO-2023-12-10-11-28-39.jpg>
[12/10/23, 11:28:45] Хабиб Вентиляция : Не правильно
[12/10/23, 11:29:08] investklimat: Это где отверстие?
[12/10/23, 11:29:15] investklimat: Та м100 тоже есть
‎[12/10/23, 11:37:19] investklimat: ‎<прикреплено: 00003525-AUDIO-2023-12-10-11-37-19.opus>
‎[12/10/23, 12:19:19] Хабиб Вентиляция : ‎изображение отсутствует
‎[12/10/23, 12:19:30] Хабиб Вентиляция : ‎<прикреплено: 00003528-AUDIO-2023-12-10-12-19-30.opus>
[12/10/23, 12:20:12] investklimat: А всё, отлично тогда
[12/10/23, 12:20:21] investklimat: думал там труба выходит
‎[12/10/23, 12:20:32] Хабиб Вентиляция : ‎<прикреплено: 00003531-AUDIO-2023-12-10-12-20-32.opus>
‎[12/10/23, 12:23:16] Хабиб Вентиляция : ‎<прикреплено: 00003532-AUDIO-2023-12-10-12-23-16.opus>
‎[12/10/23, 12:25:56] Хабиб Вентиляция : ‎<прикреплено: 00003534-AUDIO-2023-12-10-12-25-56.opus>
‎[12/10/23, 12:25:59] investklimat: ‎<прикреплено: 00003535-AUDIO-2023-12-10-12-25-58.opus>
‎[12/10/23, 12:27:01] investklimat: ‎<прикреплено: 00003536-AUDIO-2023-12-10-12-27-00.opus>
[12/10/23, 12:27:24] Хабиб Вентиляция : Не
[12/10/23, 12:27:30] Хабиб Вентиляция : Я работаю брат
‎[12/10/23, 12:42:02] Хабиб Вентиляция : Такого нету ‎изображение отсутствует
[12/10/23, 12:42:47] investklimat: Участок прямой?
‎[12/10/23, 12:44:04] investklimat: ‎<прикреплено: 00003541-AUDIO-2023-12-10-12-44-03.opus>
[12/10/23, 12:45:58] Хабиб Вентиляция : Да
‎[12/10/23, 13:21:19] Хабиб Вентиляция : ‎<прикреплено: 00003544-AUDIO-2023-12-10-13-21-19.opus>
‎[12/10/23, 13:21:26] Хабиб Вентиляция : ‎<прикреплено: 00003545-PHOTO-2023-12-10-13-21-26.jpg>
‎[12/10/23, 13:42:59] Хабиб Вентиляция : ‎<прикреплено: 00003546-PHOTO-2023-12-10-13-42-59.jpg>
[12/10/23, 13:45:18] investklimat: Отверстия делать пришёл кто-нибудь.
[12/10/23, 13:56:18] Хабиб Вентиляция : Нет
[12/10/23, 13:56:27] Хабиб Вентиляция : Его с улицы надо резать
‎[12/10/23, 14:34:43] Хабиб Вентиляция : ‎<прикреплено: 00003553-AUDIO-2023-12-10-14-34-43.opus>
‎[12/10/23, 14:35:19] Хабиб Вентиляция : ‎<прикреплено: 00003554-PHOTO-2023-12-10-14-35-19.jpg>
‎[12/10/23, 14:36:26] investklimat: ‎<прикреплено: 00003555-AUDIO-2023-12-10-14-36-25.opus>
[12/10/23, 18:19:47] investklimat: Хабиб, как дела?
‎[12/10/23, 19:58:56] Хабиб Вентиляция : ‎<прикреплено: 00003557-PHOTO-2023-12-10-19-58-56.jpg>
‎[12/10/23, 19:59:12] Хабиб Вентиляция : ‎<прикреплено: 00003558-PHOTO-2023-12-10-19-59-12.jpg>
[12/10/23, 19:59:20] Хабиб Вентиляция : Чуть не правильно по резал
[12/10/23, 20:00:44] Хабиб Вентиляция : Скажут что ни будь
[12/10/23, 20:00:54] Хабиб Вентиляция : ?
[12/10/23, 20:01:11] investklimat: 🤷‍♂️
‎[12/10/23, 20:04:05] investklimat: ‎<прикреплено: 00003563-AUDIO-2023-12-10-20-04-04.opus>
‎[12/10/23, 20:06:33] Хабиб Вентиляция : ‎<прикреплено: 00003564-PHOTO-2023-12-10-20-06-33.jpg>
[12/10/23, 20:06:43] Хабиб Вентиляция : Это переход
[12/10/23, 20:07:19] investklimat: Односторонний он?
[12/10/23, 20:07:28] Хабиб Вентиляция : Да
‎[12/10/23, 20:07:49] Хабиб Вентиляция : ‎<прикреплено: 00003568-PHOTO-2023-12-10-20-07-49.jpg>
[12/10/23, 20:09:52] Хабиб Вентиляция : Не правильно ?
‎[12/10/23, 20:10:41] investklimat: ‎<прикреплено: 00003570-AUDIO-2023-12-10-20-10-40.opus>
[12/10/23, 20:11:26] Хабиб Вентиляция : Да
[12/10/23, 20:11:28] investklimat: 700х350 на 500х350
‎[12/10/23, 20:11:59] investklimat: ‎<прикреплено: 00003573-AUDIO-2023-12-10-20-11-58.opus>
‎[12/10/23, 20:14:09] Хабиб Вентиляция : ‎<прикреплено: 00003574-AUDIO-2023-12-10-20-14-09.opus>
‎[12/10/23, 20:14:49] investklimat: ‎<прикреплено: 00003576-AUDIO-2023-12-10-20-14-49.opus>
‎[12/10/23, 20:29:25] investklimat: ‎<прикреплено: 00003578-AUDIO-2023-12-10-20-29-24.opus>
[12/10/23, 20:42:26] investklimat: Это видно сильно?
[12/10/23, 21:16:45] Хабиб Вентиляция : Там дырок нет
‎[12/10/23, 22:13:30] Хабиб Вентиляция : ‎<прикреплено: 00003581-PHOTO-2023-12-10-22-13-30.jpg>
‎[12/10/23, 22:17:58] investklimat: ‎<прикреплено: 00003582-AUDIO-2023-12-10-22-17-57.opus>
[12/10/23, 22:18:46] Хабиб Вентиляция : Они сами снимают
‎[12/10/23, 22:19:19] Хабиб Вентиляция : ‎<прикреплено: 00003584-AUDIO-2023-12-10-22-19-19.opus>
‎[12/10/23, 22:20:05] investklimat: ‎<прикреплено: 00003585-AUDIO-2023-12-10-22-20-04.opus>
‎[12/10/23, 22:20:57] Хабиб Вентиляция : ‎<прикреплено: 00003586-AUDIO-2023-12-10-22-20-57.opus>
‎[12/10/23, 22:23:12] investklimat: ‎<прикреплено: 00003587-AUDIO-2023-12-10-22-23-11.opus>
‎[12/10/23, 22:37:36] Хабиб Вентиляция : ‎<прикреплено: 00003588-AUDIO-2023-12-10-22-37-36.opus>
‎[12/11/23, 10:19:39] Хабиб Вентиляция : ‎<прикреплено: 00003589-PHOTO-2023-12-11-10-19-39.jpg>
[12/11/23, 10:19:44] Хабиб Вентиляция : Вниз смотрит?
‎[12/11/23, 10:20:03] Хабиб Вентиляция : ‎<прикреплено: 00003591-PHOTO-2023-12-11-10-20-03.jpg>
[12/11/23, 10:20:06] Хабиб Вентиляция : П2
‎[12/11/23, 10:20:39] investklimat: ‎<прикреплено: 00003593-AUDIO-2023-12-11-10-20-38.opus>
‎[12/11/23, 10:21:25] investklimat: ‎<прикреплено: 00003594-PHOTO-2023-12-11-10-21-24.jpg>
‎[12/11/23, 10:21:52] investklimat: ‎<прикреплено: 00003595-AUDIO-2023-12-11-10-21-51.opus>
‎[12/11/23, 10:22:03] investklimat: ‎<прикреплено: 00003596-PHOTO-2023-12-11-10-22-02.jpg>
[12/11/23, 10:25:52] Хабиб Вентиляция : ✊👍
‎[12/11/23, 11:19:10] investklimat: ‎<прикреплено: 00003599-PHOTO-2023-12-11-11-19-09.jpg>
‎[12/11/23, 11:20:05] investklimat: ‎<прикреплено: 00003600-AUDIO-2023-12-11-11-20-04.opus>
‎[12/11/23, 11:23:56] investklimat: ЦЕХ. Актуальный проект.pdf • ‎6 страниц ‎<прикреплено: 00003601-ЦЕХ. Актуальный проект.pdf>
[12/11/23, 11:33:36] Хабиб Вентиляция : От зонта до труб сколько расстояние?
[12/11/23, 11:33:44] Хабиб Вентиляция : Или разницы нет?
‎[12/11/23, 11:34:32] investklimat: ‎<прикреплено: 00003605-AUDIO-2023-12-11-11-34-31.opus>
[12/11/23, 11:35:08] Хабиб Вентиляция : Врески тоже не хватает
[12/11/23, 11:38:56] Хабиб Вентиляция : Нашёл
‎[12/11/23, 11:39:35] Хабиб Вентиляция : ‎<прикреплено: 00003608-AUDIO-2023-12-11-11-39-35.opus>
[12/11/23, 13:13:53] Хабиб Вентиляция : Зонты поставлю
[12/11/23, 13:13:59] Хабиб Вентиляция : Потом рвзберусь
‎[12/11/23, 13:15:31] Хабиб Вентиляция : ‎<прикреплено: 00003613-PHOTO-2023-12-11-13-15-31.jpg>
[12/11/23, 13:15:39] investklimat: Отверстия не пришёл делать?
[12/11/23, 13:15:48] Хабиб Вентиляция : Не
‎[12/11/23, 14:06:38] Хабиб Вентиляция : ‎<прикреплено: 00003616-PHOTO-2023-12-11-14-06-38.jpg>
[12/11/23, 14:07:10] investklimat: 👍
[12/11/23, 14:07:30] Хабиб Вентиляция : Другой тоже так же по вернуть ?
[12/11/23, 14:08:25] investklimat: да
‎[12/11/23, 16:34:38] Хабиб Вентиляция : ‎<прикреплено: 00003621-PHOTO-2023-12-11-16-34-38.jpg>
‎[12/11/23, 16:36:54] Хабиб Вентиляция : ‎<прикреплено: 00003622-PHOTO-2023-12-11-16-36-54.jpg>
‎[12/11/23, 16:38:41] Хабиб Вентиляция : ‎<прикреплено: 00003624-PHOTO-2023-12-11-16-38-41.jpg>
[12/11/23, 17:01:46] Хабиб Вентиляция : Это
[12/11/23, 17:01:50] Хабиб Вентиляция : Понял брат
‎[12/11/23, 17:53:49] Хабиб Вентиляция : ‎видео отсутствует
‎[12/11/23, 17:55:13] Хабиб Вентиляция : ‎изображение отсутствует
‎[12/11/23, 17:55:36] Хабиб Вентиляция : ‎<прикреплено: 00003632-AUDIO-2023-12-11-17-55-36.opus>
‎[12/11/23, 17:57:32] investklimat: Отверстие.png ‎<прикреплено: 00003633-Отверстие.png>
‎[12/11/23, 17:58:10] investklimat: ‎<прикреплено: 00003634-AUDIO-2023-12-11-17-58-09.opus>
[12/11/23, 17:58:47] Хабиб Вентиляция : Да
‎[12/11/23, 18:50:08] Хабиб Вентиляция : ‎видео отсутствует
‎[12/11/23, 18:49:02] Хабиб Вентиляция : ‎<прикреплено: 00003637-AUDIO-2023-12-11-18-49-02.opus>
[12/11/23, 18:49:53] investklimat: они уехали уже?
[12/11/23, 18:50:01] Хабиб Вентиляция : Да
[12/11/23, 18:51:29] Хабиб Вентиляция : Что делать
‎[12/11/23, 18:51:46] investklimat: ‎<прикреплено: 00003641-AUDIO-2023-12-11-18-51-45.opus>
‎[12/11/23, 18:53:42] Хабиб Вентиляция : ‎<прикреплено: 00003644-PHOTO-2023-12-11-18-53-42.jpg>
‎[12/11/23, 18:55:00] Хабиб Вентиляция : ‎<прикреплено: 00003646-PHOTO-2023-12-11-18-55-00.jpg>
‎[12/11/23, 18:55:12] investklimat: ‎<прикреплено: 00003647-AUDIO-2023-12-11-18-55-11.opus>
‎[12/11/23, 18:56:05] Хабиб Вентиляция : ‎изображение отсутствует
‎[12/11/23, 18:58:40] Хабиб Вентиляция : ‎изображение отсутствует
‎[12/11/23, 19:00:08] investklimat: ‎<прикреплено: 00003651-AUDIO-2023-12-11-19-00-07.opus>
‎[12/11/23, 19:18:59] Хабиб Вентиляция : ‎<прикреплено: 00003653-AUDIO-2023-12-11-19-18-59.opus>
‎[12/11/23, 19:30:06] investklimat: ‎<прикреплено: 00003654-AUDIO-2023-12-11-19-30-05.opus>
[12/11/23, 19:32:22] Хабиб Вентиляция : Нашел
‎[12/11/23, 19:33:17] Хабиб Вентиляция : ‎<прикреплено: 00003656-AUDIO-2023-12-11-19-33-17.opus>
‎[12/11/23, 19:34:17] investklimat: ‎<прикреплено: 00003657-AUDIO-2023-12-11-19-34-16.opus>
[12/11/23, 19:35:04] investklimat: Да
[12/11/23, 19:35:06] investklimat: Вниз
‎[12/11/23, 19:35:07] Хабиб Вентиляция : ‎<прикреплено: 00003660-AUDIO-2023-12-11-19-35-07.opus>
‎[12/11/23, 19:35:32] Хабиб Вентиляция : ‎<прикреплено: 00003661-PHOTO-2023-12-11-19-35-32.jpg>
‎[12/11/23, 19:35:33] investklimat: ‎<прикреплено: 00003662-AUDIO-2023-12-11-19-35-32.opus>
‎[12/11/23, 19:36:04] investklimat: ‎<прикреплено: 00003663-AUDIO-2023-12-11-19-36-03.opus>
[12/11/23, 19:58:43] Хабиб Вентиляция : ‎Пропущенный аудиозвонок, ‎Нажмите, чтобы перезвонить
‎[12/11/23, 19:56:43] Хабиб Вентиляция : ‎<прикреплено: 00003666-AUDIO-2023-12-11-19-56-43.opus>
[12/11/23, 20:04:14] Хабиб Вентиляция : ‎Аудиозвонок, ‎2 мин.
[12/11/23, 20:49:17] Хабиб Вентиляция : Скотч закончился
[12/11/23, 20:49:27] Хабиб Вентиляция : Такие трубы житкие
‎[12/11/23, 20:50:37] investklimat: ‎<прикреплено: 00003670-AUDIO-2023-12-11-20-50-36.opus>
[12/11/23, 20:50:50] Хабиб Вентиляция : Открываются
‎[12/11/23, 20:51:16] Хабиб Вентиляция : ‎<прикреплено: 00003672-AUDIO-2023-12-11-20-51-16.opus>
‎[12/11/23, 20:51:57] Хабиб Вентиляция : ‎<прикреплено: 00003673-AUDIO-2023-12-11-20-51-57.opus>
‎[12/11/23, 20:52:42] investklimat: ‎<прикреплено: 00003674-AUDIO-2023-12-11-20-52-41.opus>
‎[12/11/23, 20:54:27] Хабиб Вентиляция : ‎<прикреплено: 00003675-AUDIO-2023-12-11-20-54-27.opus>
‎[12/12/23, 09:46:16] investklimat: ‎<прикреплено: 00003676-AUDIO-2023-12-12-09-46-15.opus>
‎[12/12/23, 09:50:39] investklimat: ‎<прикреплено: 00003677-AUDIO-2023-12-12-09-50-38.opus>
[12/12/23, 10:00:54] Хабиб Вентиляция : Ва алайкум ассалам
[12/12/23, 10:24:22] Хабиб Вентиляция : Хаким сказал жди
[12/12/23, 10:33:05] Хабиб Вентиляция : То что ты мне отправлял 3т я ему скинул
[12/12/23, 10:35:49] investklimat: ‎Аудиозвонок, ‎Нет ответа
‎[12/12/23, 11:19:39] Хабиб Вентиляция : 370 ‎<прикреплено: 00003682-PHOTO-2023-12-12-11-19-39.jpg>
‎[12/12/23, 11:20:20] investklimat: ‎<прикреплено: 00003683-AUDIO-2023-12-12-11-20-19.opus>
[12/12/23, 11:20:47] Хабиб Вентиляция : Да
‎[12/12/23, 11:20:59] investklimat: ‎<прикреплено: 00003685-AUDIO-2023-12-12-11-20-58.opus>
‎[12/12/23, 11:21:13] Хабиб Вентиляция : ‎<прикреплено: 00003686-AUDIO-2023-12-12-11-21-13.opus>
‎[12/12/23, 11:21:37] Хабиб Вентиляция : ‎<прикреплено: 00003687-AUDIO-2023-12-12-11-21-37.opus>
[12/12/23, 11:31:33] Хабиб Вентиляция : В5 посмотри
[12/12/23, 11:31:40] Хабиб Вентиляция : На улице переходит?
[12/12/23, 11:32:12] investklimat: Да
‎[12/12/23, 11:32:13] Хабиб Вентиляция : ‎<прикреплено: 00003691-PHOTO-2023-12-12-11-32-13.jpg>
‎[12/12/23, 11:32:31] Хабиб Вентиляция : ‎<прикреплено: 00003692-PHOTO-2023-12-12-11-32-31.jpg>
‎[12/12/23, 11:32:35] investklimat: ‎<прикреплено: 00003693-AUDIO-2023-12-12-11-32-34.opus>
‎[12/12/23, 11:32:44] Хабиб Вентиляция : ‎<прикреплено: 00003694-AUDIO-2023-12-12-11-32-44.opus>
‎[12/12/23, 11:32:49] investklimat: ‎<прикреплено: 00003695-PHOTO-2023-12-12-11-32-49.jpg>
[12/12/23, 11:33:07] investklimat: Да
‎[12/12/23, 11:39:04] Хабиб Вентиляция : ‎<прикреплено: 00003698-AUDIO-2023-12-12-11-39-04.opus>
‎[12/12/23, 11:41:07] investklimat: ‎<прикреплено: 00003699-AUDIO-2023-12-12-11-41-06.opus>
‎[12/12/23, 11:42:50] investklimat: ‎<прикреплено: 00003701-AUDIO-2023-12-12-11-42-50.opus>
‎[12/12/23, 11:43:39] Хабиб Вентиляция : ‎<прикреплено: 00003702-AUDIO-2023-12-12-11-43-39.opus>
‎[12/12/23, 11:45:07] investklimat: ‎<прикреплено: 00003703-AUDIO-2023-12-12-11-45-06.opus>
‎[12/12/23, 11:50:56] investklimat: ‎<прикреплено: 00003704-AUDIO-2023-12-12-11-50-55.opus>
‎[12/12/23, 13:42:14] investklimat: ‎<прикреплено: 00003705-AUDIO-2023-12-12-13-42-13.opus>
[12/12/23, 13:46:50] Хабиб Вентиляция : Хопошо
[12/12/23, 13:46:53] Хабиб Вентиляция : Хорошо
[12/12/23, 14:14:15] Хабиб Вентиляция : 200 дифузоров не было?
[12/12/23, 14:23:09] Хабиб Вентиляция : ‎Пропущенный видеозвонок, ‎Нажмите, чтобы перезвонить
[12/12/23, 14:23:11] Хабиб Вентиляция : Случайно
[12/12/23, 14:39:04] Хабиб Вентиляция : Кто то пришёл
[12/12/23, 14:39:22] Хабиб Вентиляция : По вытяжке какие то вопросы
[12/12/23, 14:39:24] Хабиб Вентиляция : Говорит
[12/12/23, 14:39:29] Хабиб Вентиляция : Не напарник твой
[12/12/23, 14:39:32] Хабиб Вентиляция : ?
[12/12/23, 14:39:42] investklimat: Нет
[12/12/23, 14:41:57] investklimat: Что хочет?
[12/12/23, 14:42:17] investklimat: Работать мешает?
[12/12/23, 14:53:33] Хабиб Вентиляция : Не
‎[12/12/23, 15:31:03] Хабиб Вентиляция : ‎<прикреплено: 00003721-PHOTO-2023-12-12-15-31-03.jpg>
‎[12/12/23, 15:31:46] Хабиб Вентиляция : ‎<прикреплено: 00003722-PHOTO-2023-12-12-15-31-46.jpg>
[12/12/23, 16:12:30] investklimat: Помешает?
‎[12/12/23, 16:14:03] Хабиб Вентиляция : ‎<прикреплено: 00003724-AUDIO-2023-12-12-16-14-03.opus>
‎[12/12/23, 16:34:06] Хабиб Вентиляция : ‎видео отсутствует
‎[12/12/23, 17:23:08] Хабиб Вентиляция : ‎изображение отсутствует
[12/12/23, 17:23:12] Хабиб Вентиляция : Свет отключили
‎[12/12/23, 17:30:40] Хабиб Вентиляция : ‎<прикреплено: 00003730-AUDIO-2023-12-12-17-30-40.opus>
‎[12/12/23, 17:32:25] investklimat: ‎<прикреплено: 00003731-AUDIO-2023-12-12-17-32-24.opus>
‎[12/12/23, 17:34:40] investklimat: ‎<прикреплено: 00003732-AUDIO-2023-12-12-17-34-39.opus>
[12/12/23, 17:41:28] Хабиб Вентиляция : 🤦‍♂️
‎[12/12/23, 17:41:49] Хабиб Вентиляция : ‎<прикреплено: 00003734-AUDIO-2023-12-12-17-41-49.opus>
‎[12/13/23, 14:03:55] Хабиб Вентиляция : ‎изображение отсутствует
‎[12/13/23, 14:05:46] investklimat: ‎<прикреплено: 00003736-AUDIO-2023-12-13-14-05-45.opus>
[12/13/23, 14:06:01] Хабиб Вентиляция : Ва алайкум ассалам
[12/13/23, 14:06:03] Хабиб Вентиляция : Нет
[12/13/23, 14:06:15] investklimat: Ок
‎[12/13/23, 14:07:01] Хабиб Вентиляция : ‎<прикреплено: 00003740-PHOTO-2023-12-13-14-07-01.jpg>
‎[12/13/23, 14:08:02] Хабиб Вентиляция : ‎<прикреплено: 00003741-PHOTO-2023-12-13-14-08-02.jpg>
[12/13/23, 14:08:38] investklimat: 👍
‎[12/13/23, 14:24:06] Хабиб Вентиляция : ‎<прикреплено: 00003743-PHOTO-2023-12-13-14-24-06.jpg>
‎[12/13/23, 14:24:29] Хабиб Вентиляция : ‎<прикреплено: 00003744-PHOTO-2023-12-13-14-24-29.jpg>
[12/13/23, 14:24:31] Хабиб Вентиляция : Мешает
‎[12/13/23, 14:30:28] investklimat: ‎<прикреплено: 00003746-AUDIO-2023-12-13-14-30-28.opus>
‎[12/13/23, 14:48:35] investklimat: ‎<прикреплено: 00003747-AUDIO-2023-12-13-14-48-34.opus>
‎[12/13/23, 14:51:02] investklimat: ‎<прикреплено: 00003748-AUDIO-2023-12-13-14-51-01.opus>
‎[12/13/23, 15:00:53] Хабиб Вентиляция : ‎<прикреплено: 00003749-PHOTO-2023-12-13-15-00-53.jpg>
[12/13/23, 15:01:22] investklimat: Норм👍
‎[12/13/23, 15:09:17] Хабиб Вентиляция : ‎<прикреплено: 00003751-PHOTO-2023-12-13-15-09-17.jpg>
[12/13/23, 15:09:39] Хабиб Вентиляция : Клапан под ригель можно ставить?
[12/13/23, 15:10:19] investklimat: Да
‎[12/13/23, 15:11:07] investklimat: ‎<прикреплено: 00003754-AUDIO-2023-12-13-15-11-06.opus>
‎[12/13/23, 15:39:12] Хабиб Вентиляция : ‎<прикреплено: 00003755-AUDIO-2023-12-13-15-39-12.opus>
[12/13/23, 15:42:35] investklimat: Да
[12/13/23, 15:43:15] Хабиб Вентиляция : Тройник нет
[12/13/23, 16:03:15] Хабиб Вентиляция : Алиазник пришёл
‎[12/13/23, 16:40:05] Хабиб Вентиляция : ‎<прикреплено: 00003766-AUDIO-2023-12-13-16-40-05.opus>
‎[12/13/23, 16:40:33] Хабиб Вентиляция : ‎<прикреплено: 00003767-PHOTO-2023-12-13-16-40-33.jpg>
‎[12/13/23, 16:41:04] investklimat: ‎<прикреплено: 00003768-AUDIO-2023-12-13-16-41-03.opus>
‎[12/13/23, 16:42:28] Хабиб Вентиляция : ‎<прикреплено: 00003769-AUDIO-2023-12-13-16-42-28.opus>
‎[12/13/23, 16:44:16] Хабиб Вентиляция : ‎<прикреплено: 00003771-PHOTO-2023-12-13-16-44-16.jpg>
‎[12/13/23, 16:44:29] Хабиб Вентиляция : ‎<прикреплено: 00003772-PHOTO-2023-12-13-16-44-29.jpg>
‎[12/13/23, 16:52:21] investklimat: ‎<прикреплено: 00003774-PHOTO-2023-12-13-16-52-20.jpg>
‎[12/13/23, 16:52:52] investklimat: ‎<прикреплено: 00003775-AUDIO-2023-12-13-16-52-51.opus>
‎[12/13/23, 16:53:46] Хабиб Вентиляция : ‎<прикреплено: 00003776-AUDIO-2023-12-13-16-53-46.opus>
‎[12/13/23, 17:58:36] Хабиб Вентиляция : ‎<прикреплено: 00003777-PHOTO-2023-12-13-17-58-36.jpg>
[12/13/23, 17:58:44] Хабиб Вентиляция : Тут отводы идут?
[12/13/23, 18:00:09] investklimat: да
[12/13/23, 18:04:17] investklimat: вот
‎[12/13/23, 18:07:00] investklimat: ‎<прикреплено: 00003781-AUDIO-2023-12-13-18-06-59.opus>
[12/13/23, 19:06:25] Хабиб Вентиляция : Нет
[12/13/23, 19:06:28] Хабиб Вентиляция : Ушел
‎[12/13/23, 19:07:30] Хабиб Вентиляция : ‎<прикреплено: 00003784-VIDEO-2023-12-13-19-07-30.mp4>
‎[12/13/23, 19:09:13] Хабиб Вентиляция : ‎<прикреплено: 00003785-PHOTO-2023-12-13-19-09-13.jpg>
[12/13/23, 19:13:32] investklimat: Да, диффузор
‎[12/13/23, 19:13:46] investklimat: ‎<прикреплено: 00003787-AUDIO-2023-12-13-19-13-45.opus>
‎[12/13/23, 19:16:26] Хабиб Вентиляция : ‎<прикреплено: 00003788-AUDIO-2023-12-13-19-16-26.opus>
‎[12/13/23, 19:16:49] Хабиб Вентиляция : ‎<прикреплено: 00003789-VIDEO-2023-12-13-19-16-49.mp4>
[12/13/23, 19:17:27] investklimat: Все хорошо, брат 👍
[12/13/23, 19:27:06] investklimat: другие зонты не вешали еще?
[12/13/23, 19:30:36] Хабиб Вентиляция : Нет
‎[12/13/23, 19:51:26] Хабиб Вентиляция : ‎<прикреплено: 00003793-AUDIO-2023-12-13-19-51-26.opus>
‎[12/13/23, 19:56:08] investklimat: ‎<прикреплено: 00003794-AUDIO-2023-12-13-19-56-07.opus>
‎[12/13/23, 19:57:27] investklimat: ‎<прикреплено: 00003795-AUDIO-2023-12-13-19-57-26.opus>
‎[12/13/23, 19:58:17] Хабиб Вентиляция : ‎<прикреплено: 00003796-AUDIO-2023-12-13-19-58-17.opus>
‎[12/13/23, 20:01:02] investklimat: ‎<прикреплено: 00003797-AUDIO-2023-12-13-20-01-01.opus>
‎[12/13/23, 20:04:15] investklimat: ‎<прикреплено: 00003798-PHOTO-2023-12-13-20-04-15.jpg>
[12/13/23, 20:05:11] Хабиб Вентиляция : 100
‎[12/13/23, 20:05:13] investklimat: ‎<прикреплено: 00003800-AUDIO-2023-12-13-20-05-12.opus>
‎[12/13/23, 20:06:20] Хабиб Вентиляция : ‎<прикреплено: 00003801-PHOTO-2023-12-13-20-06-20.jpg>
[12/13/23, 20:32:02] Хабиб Вентиляция : Я брат поставил уже
[12/13/23, 20:32:39] investklimat: понял
[12/13/23, 20:32:44] investklimat: хорошо
‎[12/13/23, 20:36:21] Хабиб Вентиляция : ‎<прикреплено: 00003806-AUDIO-2023-12-13-20-36-21.opus>
‎[12/13/23, 20:42:54] investklimat: ‎<прикреплено: 00003807-AUDIO-2023-12-13-20-42-53.opus>
‎[12/13/23, 20:44:54] Хабиб Вентиляция : ‎<прикреплено: 00003808-VIDEO-2023-12-13-20-44-54.mp4>
‎[12/13/23, 21:17:16] Хабиб Вентиляция : ‎<прикреплено: 00003809-PHOTO-2023-12-13-21-17-16.jpg>
‎[12/13/23, 21:17:26] Хабиб Вентиляция : ‎<прикреплено: 00003810-PHOTO-2023-12-13-21-17-26.jpg>
[12/13/23, 21:18:53] Хабиб Вентиляция : Вот так получается
[12/13/23, 21:21:25] investklimat: Низко конечно
[12/13/23, 21:21:37] investklimat: делайте, может прокатит
[12/13/23, 21:23:06] Хабиб Вентиляция : 265
[12/13/23, 21:23:11] Хабиб Вентиляция : До решетки
[12/13/23, 21:23:14] Хабиб Вентиляция : От пола
[12/13/23, 21:23:17] Хабиб Вентиляция : Высота
‎[12/13/23, 21:23:58] investklimat: ‎<прикреплено: 00003818-AUDIO-2023-12-13-21-23-57.opus>
‎[12/13/23, 21:27:10] Хабиб Вентиляция : ‎<прикреплено: 00003819-AUDIO-2023-12-13-21-27-10.opus>
‎[12/13/23, 21:44:00] investklimat: ‎<прикреплено: 00003820-AUDIO-2023-12-13-21-44-00.opus>
‎[12/13/23, 21:44:24] investklimat: ‎<прикреплено: 00003821-AUDIO-2023-12-13-21-44-23.opus>
‎[12/13/23, 22:13:04] Хабиб Вентиляция : ‎<прикреплено: 00003822-PHOTO-2023-12-13-22-13-04.jpg>
‎[12/13/23, 22:13:16] Хабиб Вентиляция : ‎<прикреплено: 00003823-PHOTO-2023-12-13-22-13-16.jpg>
[12/13/23, 22:13:23] Хабиб Вентиляция : Так же говорил
[12/13/23, 22:27:18] investklimat: да
‎[12/13/23, 22:39:36] Хабиб Вентиляция : ‎<прикреплено: 00003826-AUDIO-2023-12-13-22-39-36.opus>
‎[12/14/23, 00:10:12] investklimat: Система В3 - 3Д.pdf • ‎1 страница ‎<прикреплено: 00003827-Система В3 - 3Д.pdf>
‎[12/14/23, 00:10:12] investklimat: Система В3 План.pdf • ‎1 страница ‎<прикреплено: 00003828-Система В3 План.pdf>
‎[12/14/23, 00:11:23] investklimat: ‎<прикреплено: 00003829-AUDIO-2023-12-14-00-11-22.opus>
‎[12/14/23, 00:15:36] Хабиб Вентиляция : ‎<прикреплено: 00003830-AUDIO-2023-12-14-00-15-36.opus>
